Event ID,COUNTRY,STATE,CITY,EVENT CODE,Event Type,POPULATION
152,Mexico,,,033,Illness / Common,31
153,Nicaragua,,,033,Illness / Common,3
154,Panamá,,,033,Illness / Common,5
155,Paraguay,,,033,Illness / Common,15
156,Peru,,,033,Illness / Common,7
157,Venezuela,Zulia,Maracaibo,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
158,Venezuela,,,0411,Economy / Stock Index / Increase,IBVC
159,Brazil,São Paulo,São Paulo,0151,Civil Unrest / Other Government / Non-Violent,General Population
160,Venezuela,Capital District,Caracas,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
161,Venezuela,Capital District,Caracas,0111,Civil Unrest / Employment & Wages / Non-Violent,Education
162,Panamá,Chiriqui,Chiriqui,0131,Civil Unrest / Energy & Resources / Non-Violent,Ethnic
163,Peru,Madre de Dios ,NA,0152,Civil Unrest / Other Government / Violent,Labor
164,Peru,NA,NA,0152,Civil Unrest / Other Government / Violent,Labor
165,Argentina,,,033,Illness / Common,52
166,Bolivia,,,033,Illness / Common,0
167,Chile ,,,033,Illness / Common,42
168,Colombia,,,033,Illness / Common,16
169,Costa Rica,,,033,Illness / Common,11
170,Ecuador,,,033,Illness / Common,35
171,El Salvador,,,033,Illness / Common,2
172,French Guiana,,,033,Illness / Common,3
173,Guatemala,,,033,Illness / Common,10
174,Honduras,,,033,Illness / Common,2
175,Mexico,,,033,Illness / Common,53
176,Nicaragua,,,033,Illness / Common,4
177,Panamá,,,033,Illness / Common,2
178,Paraguay,,,033,Illness / Common,17
179,Peru,,,033,Illness / Common,8
180,Paraguay,Capital District,Asunción,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
181,Paraguay,NA,NA,0151,Civil Unrest / Other Government / Non-Violent,Agricultural
182,Venezuela,Capital District,NA,0152,Civil Unrest / Other Government / Violent,General Population
183,French Guiana,,,033,Illness / Common,1
184,Argentina,,,033,Illness / Common,44
185,Bolivia,,,033,Illness / Common,0
186,Chile ,,,033,Illness / Common,32
187,Colombia,,,033,Illness / Common,25
188,Costa Rica,,,033,Illness / Common,16
189,Ecuador,,,033,Illness / Common,19
190,El Salvador,,,033,Illness / Common,2
191,Guatemala,,,033,Illness / Common,11
192,Honduras,,,033,Illness / Common,2
193,Mexico,,,033,Illness / Common,33
194,Nicaragua,,,033,Illness / Common,1
195,Panamá,,,033,Illness / Common,5
196,Paraguay,,,033,Illness / Common,31
197,Peru,,,033,Illness / Common,6
198,Argentina,NA,Buenos Aires,0151,Civil Unrest / Other Government / Non-Violent,General Population
199,Uruguay,NA,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
201,Paraguay,NA,NA,0141,Civil Unrest / Other Economic / Non-Violent,Business
202,Argentina,,,033,Illness / Common,83
203,Bolivia,,,033,Illness / Common,0
204,Chile ,,,033,Illness / Common,42
205,Colombia,,,033,Illness / Common,18
206,Costa Rica,,,033,Illness / Common,21
207,Ecuador,,,033,Illness / Common,28
208,El Salvador,,,033,Illness / Common,5
209,French Guiana,,,033,Illness / Common,2
210,Guatemala,,,033,Illness / Common,10
211,Honduras,,,033,Illness / Common,1
212,Mexico,,,033,Illness / Common,38
213,Nicaragua,,,033,Illness / Common,1
214,Panamá,,,033,Illness / Common,6
215,Paraguay,,,033,Illness / Common,32
216,Peru,,,033,Illness / Common,21
217,Venezuela,,,0411,Economy / Stock Index / Increase,IBVC
218,Honduras,Districto Central,Tegucigalpa,0132,Civil Unrest / Energy & Resources / Violent,General Population
219,Venezuela,Capital District,Caracas,0151,Civil Unrest / Other Government / Non-Violent,Education
220,Colombia,,,0411,Economy / Stock Index / Increase,COLCAP
221,Paraguay,NA,NA,0131,Civil Unrest / Energy & Resources / Non-Violent,Ethnic
222,Peru,,,0411,Economy / Stock Index / Increase,IGBVL
223,Peru,,,0421,Economy / Currency Exchange / Increase,PEN
226,Venezuela,,,0411,Economy / Stock Index / Increase,IBVC
227,Argentina,,,033,Illness / Common,62
228,Bolivia,,,033,Illness / Common,0
229,Chile ,,,033,Illness / Common,44
230,Colombia,,,033,Illness / Common,16
231,Costa Rica,,,033,Illness / Common,16
232,Ecuador,,,033,Illness / Common,44
233,El Salvador,,,033,Illness / Common,3
234,French Guiana,,,033,Illness / Common,1
235,Guatemala,,,033,Illness / Common,8
236,Honduras,,,033,Illness / Common,1
237,Mexico,,,033,Illness / Common,56
238,Nicaragua,,,033,Illness / Common,0
239,Panamá,,,033,Illness / Common,1
240,Paraguay,,,033,Illness / Common,25
241,Peru,,,033,Illness / Common,5
242,Peru,Arequipa,Mollendo,0151,Civil Unrest / Other Government / Non-Violent,General Population
243,Argentina,NA,Buenos Aires,0151,Civil Unrest / Other Government / Non-Violent,General Population
244,Brazil,Federal District,Brasilia,0151,Civil Unrest / Other Government / Non-Violent,Education
245,Paraguay,Capital District,Asunción,0151,Civil Unrest / Other Government / Non-Violent,General Population
246,Brazil,Para,Curralinho,0152,Civil Unrest / Other Government / Violent,General Population
247,Peru,,,0412,Economy / Stock Index / Decrease,IGBVL
248,Peru,,,0421,Economy / Currency Exchange / Increase,PEN
249,Argentina,,,033,Illness / Common,119
250,Bolivia,,,033,Illness / Common,0
251,Chile ,,,033,Illness / Common,42
252,Colombia,,,033,Illness / Common,24
253,Costa Rica,,,033,Illness / Common,20
254,Ecuador,,,033,Illness / Common,26
255,El Salvador,,,033,Illness / Common,8
256,French Guiana,,,033,Illness / Common,5
257,Guatemala,,,033,Illness / Common,15
258,Honduras,,,033,Illness / Common,0
259,Mexico,,,033,Illness / Common,85
260,Nicaragua,,,033,Illness / Common,0
261,Panamá,,,033,Illness / Common,5
262,Paraguay,,,033,Illness / Common,35
263,Peru,,,033,Illness / Common,2
264,Venezuela,,,0412,Economy / Stock Index / Decrease,IBVC
265,Uruguay,NA,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
269,Nicaragua,Managua,Managua,0152,Civil Unrest / Other Government / Violent,General population
270,Uruguay,NA,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
273,Peru,Lima Provincias,NA,0132,Civil Unrest / Energy & Resources / Violent,General Population
274,Chile,,,0411,Economy / Stock Index / Increase,CHILE65
275,Argentina,,,033,Illness / Common,170
276,Bolivia,,,033,Illness / Common,1
277,Chile ,,,033,Illness / Common,75
278,Colombia,,,033,Illness / Common,24
279,Costa Rica,,,033,Illness / Common,33
280,Ecuador,,,033,Illness / Common,33
281,El Salvador,,,033,Illness / Common,9
282,French Guiana,,,033,Illness / Common,1
283,Guatemala,,,033,Illness / Common,12
284,Honduras,,,033,Illness / Common,1
285,Mexico,,,033,Illness / Common,41
286,Nicaragua,,,033,Illness / Common,0
287,Panamá,,,033,Illness / Common,3
288,Paraguay,,,033,Illness / Common,26
289,Peru,,,033,Illness / Common,4
290,Bolivia,NA,NA,0112,Civil Unrest / Employment & Wages / Violent,Education
291,Bolivia,NA,NA,0112,Civil Unrest / Employment & Wages / Violent,Medical
292,Bolivia,NA,NA,0112,Civil Unrest / Employment & Wages / Violent,Labor
293,Peru,Arequipa,Mollendo,0152,Civil Unrest / Other Government / Violent,General Population
294,Argentina,,,033,Illness / Common,252
295,Bolivia,,,033,Illness / Common,0
296,Chile ,,,033,Illness / Common,70
297,Colombia,,,033,Illness / Common,43
298,Costa Rica,,,033,Illness / Common,18
299,Ecuador,,,033,Illness / Common,33
300,El Salvador,,,033,Illness / Common,13
301,French Guiana,,,033,Illness / Common,2
302,Guatemala,,,033,Illness / Common,6
303,Honduras,,,033,Illness / Common,1
304,Mexico,,,033,Illness / Common,43
305,Nicaragua,,,033,Illness / Common,0
306,Panamá,,,033,Illness / Common,3
307,Paraguay,,,033,Illness / Common,28
308,Peru,,,033,Illness / Common,5
309,Venezuela,Anzoategui,Barcelona,0151,Civil Unrest / Other Government / Non-Violent,General Population
312,Peru,,,0412,Economy / Stock Index / Decrease,IGBVL
315,Argentina,,,033,Illness / Common,252
316,Bolivia,,,033,Illness / Common,0
317,Chile ,,,033,Illness / Common,107
318,Colombia,,,033,Illness / Common,20
319,Costa Rica,,,033,Illness / Common,12
320,Ecuador,,,033,Illness / Common,33
321,El Salvador,,,033,Illness / Common,5
322,Guatemala,,,033,Illness / Common,1
323,Honduras,,,033,Illness / Common,0
324,Mexico,,,033,Illness / Common,26
325,Nicaragua,,,033,Illness / Common,1
326,Panamá,,,033,Illness / Common,3
327,Paraguay,,,033,Illness / Common,12
328,Peru,,,033,Illness / Common,7
329,Venezuela,Capital District,Caracas,0151,Civil Unrest / Other Government / Non-Violent,General Population
330,Argentina,,,033,Illness / Common,453
331,Bolivia,,,033,Illness / Common,0
332,Chile ,,,033,Illness / Common,176
333,Colombia,,,033,Illness / Common,18
334,Costa Rica,,,033,Illness / Common,58
335,Ecuador,,,033,Illness / Common,26
336,El Salvador,,,033,Illness / Common,9
337,French Guiana,,,033,Illness / Common,1
338,Guatemala,,,033,Illness / Common,2
339,Honduras,,,033,Illness / Common,2
340,Mexico,,,033,Illness / Common,12
341,Nicaragua,,,033,Illness / Common,1
342,Panamá,,,033,Illness / Common,0
343,Paraguay,,,033,Illness / Common,18
344,Peru,,,033,Illness / Common,10
345,Venezuela,,,0411,Economy / Stock Index / Increase,IBVC
346,Panamá,NA,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Education
347,Peru,Puno,NA,0131,Civil Unrest / Energy & Resources / Non-Violent,General Population
348,Venezuela,Capital District,Caracas,0151,Civil Unrest / Other Government / Non-Violent,General Population
349,Peru,,,0411,Economy / Stock Index / Increase,IGBVL
352,Venezuela,,,0412,Economy / Stock Index / Decrease,IBVC
353,Venezuela,,,0411,Economy / Stock Index / Increase,IBVC
354,Ecuador,Pichincha,Quito,0151,Civil Unrest / Other Government / Non-Violent,Media
355,Costa Rica,,,0411,Economy / Stock Index / Increase,CRSMBCT
356,Argentina,,,033,Illness / Common,544
357,Bolivia,,,033,Illness / Common,0
358,Chile ,,,033,Illness / Common,224
359,Colombia,,,033,Illness / Common,29
360,Costa Rica,,,033,Illness / Common,34
361,Ecuador,,,033,Illness / Common,19
362,El Salvador,,,033,Illness / Common,11
363,Guatemala,,,033,Illness / Common,4
364,Honduras,,,033,Illness / Common,1
365,Mexico,,,033,Illness / Common,15
366,Nicaragua,,,033,Illness / Common,0
367,Panamá,,,033,Illness / Common,4
368,Paraguay,,,033,Illness / Common,20
369,Peru,,,033,Illness / Common,10
370,Peru,,,0411,Economy / Stock Index / Increase,IGBVL
371,Venezuela,,,0411,Economy / Stock Index / Increase,IBVC
372,Venezuela,Amazonas,Puerto Ayacucho,0151,Civil Unrest / Other Government / Non-Violent,Ethnic
373,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #1
374,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #10 
375,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #2 
376,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #3 
377,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #4 
378,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #5 
379,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #6 
380,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #7 
381,Ecuador,NA,NA,0221,Vote / Referendum / Yes,Question #9 
382,Argentina,,,033,Illness / Common,614
383,Bolivia,,,033,Illness / Common,3
384,Chile ,,,033,Illness / Common,325
385,Colombia,,,033,Illness / Common,35
386,Costa Rica,,,033,Illness / Common,20
387,Ecuador,,,033,Illness / Common,17
388,El Salvador,,,033,Illness / Common,18
389,French Guiana,,,033,Illness / Common,0
390,Guatemala,,,033,Illness / Common,2
391,Honduras,,,033,Illness / Common,2
392,Mexico,,,033,Illness / Common,12
393,Nicaragua,,,033,Illness / Common,1
394,Panamá,,,033,Illness / Common,4
395,Paraguay,,,033,Illness / Common,16
396,Peru,,,033,Illness / Common,8
397,Venezuela,Zulia,Maracaibo,0111,Civil Unrest / Employment & Wages / Non-Violent,Education
398,Costa Rica,,,0422,Economy / Currency Exchange / Decrease,CRC
399,Venezuela,Lara,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
400,Venezuela,Aragua,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
401,Venezuela,Carabobo,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
402,Venezuela,Miranda,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
403,Costa Rica,,,0411,Economy / Stock Index / Increase,CRSMBCT
404,Argentina,,,033,Illness / Common,813
405,Bolivia,,,033,Illness / Common,3
406,Chile ,,,033,Illness / Common,478
407,Colombia,,,033,Illness / Common,46
408,Costa Rica,,,033,Illness / Common,31
409,Ecuador,,,033,Illness / Common,16
410,El Salvador,,,033,Illness / Common,22
411,Guatemala,,,033,Illness / Common,6
412,Honduras,,,033,Illness / Common,6
413,Mexico,,,033,Illness / Common,8
414,Nicaragua,,,033,Illness / Common,0
415,Panamá,,,033,Illness / Common,0
416,Paraguay,,,033,Illness / Common,42
417,Peru,,,033,Illness / Common,6
418,Costa Rica,,,0411,Economy / Stock Index / Increase,CRSMBCT
419,Costa Rica,,,0411,Economy / Stock Index / Increase,CRSMBCT
420,Brazil,São Paulo,São Paulo,0151,Civil Unrest / Other Government / Non-Violent,General Population
421,Chile,"Valparaíso",NA,0152,Civil Unrest / Other Government / Violent,General Population
422,Uruguay,Montevideo,Montevideo,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
423,Costa Rica,,,0411,Economy / Stock Index / Increase,CRSMBCT
424,Costa Rica,,,0411,Economy / Stock Index / Increase,CRSMBCT
425,Argentina,,,033,Illness / Common,906
426,Bolivia,,,033,Illness / Common,1
427,Chile ,,,033,Illness / Common,613
428,Colombia,,,033,Illness / Common,46
429,Costa Rica,,,033,Illness / Common,12
430,Ecuador,,,033,Illness / Common,11
431,El Salvador,,,033,Illness / Common,19
432,French Guiana,,,033,Illness / Common,0
433,Guatemala,,,033,Illness / Common,5
434,Honduras,,,033,Illness / Common,1
435,Mexico,,,033,Illness / Common,7
436,Nicaragua,,,033,Illness / Common,0
437,Panamá,,,033,Illness / Common,3
438,Paraguay,,,033,Illness / Common,14
439,Peru,,,033,Illness / Common,3
440,Panamá,Panama,Panama,0152,Civil Unrest / Other Government / Violent,Education
441,Peru,Puno,NA,0152,Civil Unrest / Other Government / Violent,General Population
442,Venezuela,Zulia,Maracaibo,0151,Civil Unrest / Other Government / Non-Violent,Labor
443,Peru,Puno,NA,0131,Civil Unrest / Energy & Resources / Non-Violent,General Population
445,Venezuela,Capital District,Caracas,0151,Civil Unrest / Other Government / Non-Violent,General Population
446,Argentina,,,033,Illness / Common,1070
447,Bolivia,,,033,Illness / Common,1
448,Chile ,,,033,Illness / Common,794
449,Colombia,,,033,Illness / Common,35
450,Costa Rica,,,033,Illness / Common,34
451,Ecuador,,,033,Illness / Common,12
452,El Salvador,,,033,Illness / Common,26
453,French Guiana,,,033,Illness / Common,1
454,Guatemala,,,033,Illness / Common,5
455,Honduras,,,033,Illness / Common,5
456,Mexico,,,033,Illness / Common,12
457,Nicaragua,,,033,Illness / Common,1
458,Panamá,,,033,Illness / Common,1
459,Paraguay,,,033,Illness / Common,18
460,Peru,,,033,Illness / Common,12
462,Chile,Valparaiso,NA,0151,Civil Unrest / Other Government / Non-Violent,Education
464,Chile,"Santiago Metropolitan",Santiago,0152,Civil Unrest / Other Government / Violent,Education
465,Venezuela,Anzoategui ,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
466,Peru,,,0411,Economy / Stock Index / Increase,IGBVL
467,Argentina,,,0422,Economy / Currency Exchange / Decrease,ARS
468,Argentina,,,0421,Economy / Currency Exchange / Increase,ARS
469,Paraguay,Capital District,Asunción,0151,Civil Unrest / Other Government / Non-Violent,Ethnic
470,Peru,NA,NA,0211,Vote / Election / President/Prime Minister,Ollanta Humala
471,Peru,,,0412,Economy / Stock Index / Decrease,IGBVL
472,Argentina,,,033,Illness / Common,1399
473,Bolivia,,,033,Illness / Common,1
474,Chile ,,,033,Illness / Common,847
475,Colombia,,,033,Illness / Common,47
476,Costa Rica,,,033,Illness / Common,21
477,Ecuador,,,033,Illness / Common,11
478,El Salvador,,,033,Illness / Common,30
479,Guatemala,,,033,Illness / Common,6
480,Honduras,,,033,Illness / Common,5
481,Mexico,,,033,Illness / Common,6
482,Nicaragua,,,033,Illness / Common,10
483,Panamá,,,033,Illness / Common,8
484,Paraguay,,,033,Illness / Common,13
485,Peru,,,033,Illness / Common,2
486,Paraguay,NA,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
487,Costa Rica,,,0412,Economy / Stock Index / Decrease,CRSMBCT
488,Argentina,,,0411,Economy / Stock Index / Increase,Merval
490,Chile,"Metropolitana",Santiago,0151,Civil Unrest / Other Government / Non-Violent,Education
491,Chile,Santiago Metropolitan,Santiago,0152,Civil Unrest / Other Government / Violent,Education
492,Peru,Huancavelica,NA,0152,Civil Unrest / Other Government / Violent,Education
493,Argentina,,,033,Illness / Common,1325
494,Bolivia,,,033,Illness / Common,2
495,Chile ,,,033,Illness / Common,900
496,Colombia,,,033,Illness / Common,47
497,Costa Rica,,,033,Illness / Common,20
498,Ecuador,,,033,Illness / Common,8
499,El Salvador,,,033,Illness / Common,27
500,French Guiana,,,033,Illness / Common,2
501,Guatemala,,,033,Illness / Common,9
502,Honduras,,,033,Illness / Common,5
503,Mexico,,,033,Illness / Common,5
504,Nicaragua,,,033,Illness / Common,14
505,Panamá,,,033,Illness / Common,7
506,Paraguay,,,033,Illness / Common,18
507,Peru,,,033,Illness / Common,4
508,Venezuela,Capital District,Caracas,0152,Civil Unrest / Other Government / Violent,General Population
509,Venezuela,Zulia,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Education
510,Venezuela,Miranda,NA,0152,Civil Unrest / Other Government / Violent,General Population
511,Argentina,,,033,Illness / Common,1260
512,Bolivia,,,033,Illness / Common,1
513,Chile ,,,033,Illness / Common,809
514,Colombia,,,033,Illness / Common,30
515,Costa Rica,,,033,Illness / Common,22
516,Ecuador,,,033,Illness / Common,4
517,El Salvador,,,033,Illness / Common,27
518,Guatemala,,,033,Illness / Common,6
519,Honduras,,,033,Illness / Common,0
520,Mexico,,,033,Illness / Common,5
521,Nicaragua,,,033,Illness / Common,2
522,Panamá,,,033,Illness / Common,15
523,Paraguay,,,033,Illness / Common,12
524,Peru,,,033,Illness / Common,12
525,Panamá,Panama,Panama ,0111,Civil Unrest / Employment & Wages / Non-Violent,Education
526,Peru,Puno,Juliaca,0132,Civil Unrest / Energy & Resources / Violent,General Population
527,Peru,Ayacucho,Ayacucho,0151,Civil Unrest / Other Government / Non-Violent,Education
528,Argentina,,,033,Illness / Common,1506
529,Bolivia,,,033,Illness / Common,1
530,Chile ,,,033,Illness / Common,682
531,Colombia,,,033,Illness / Common,29
532,Costa Rica,,,033,Illness / Common,24
533,Ecuador,,,033,Illness / Common,7
534,El Salvador,,,033,Illness / Common,23
535,French Guiana,,,033,Illness / Common,0
536,Guatemala,,,033,Illness / Common,6
537,Honduras,,,033,Illness / Common,1
538,Mexico,,,033,Illness / Common,4
539,Nicaragua,,,033,Illness / Common,8
540,Panamá,,,033,Illness / Common,25
541,Paraguay,,,033,Illness / Common,3
542,Peru,,,033,Illness / Common,4
543,Venezuela,NA,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Medical
544,Peru,Puno,NA,0131,Civil Unrest / Energy & Resources / Non-Violent,General Population
545,Chile,"Santiago Metropolitan",Santiago,0152,Civil Unrest / Other Government / Violent,Education
546,Venezuela,Zulia,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Medical
547,Peru,Ayacucho, Ayacucho,0152,Civil Unrest / Other Government / Violent,Education
548,Brazil,Ceara,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
549,Paraguay,Capital District,Asunción,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
550,Argentina,,,033,Illness / Common,1317
551,Bolivia,,,033,Illness / Common,3
552,Chile ,,,033,Illness / Common,672
553,Colombia,,,033,Illness / Common,21
554,Costa Rica,,,033,Illness / Common,30
555,Ecuador,,,033,Illness / Common,6
556,El Salvador,,,033,Illness / Common,28
557,Guatemala,,,033,Illness / Common,13
558,Honduras,,,033,Illness / Common,10
559,Mexico,,,033,Illness / Common,7
560,Nicaragua,,,033,Illness / Common,4
561,Panamá,,,033,Illness / Common,26
562,Paraguay,,,033,Illness / Common,10
563,Peru,,,033,Illness / Common,9
565,Argentina,,,033,Illness / Common,1325
566,Bolivia,,,033,Illness / Common,1
567,Chile ,,,033,Illness / Common,554
568,Colombia,,,033,Illness / Common,34
